54,士林區,單車遊蹤,雙溪生活水岸,臺北市  士林區士林橋,121.508447,25.137077,新北投,
47,士林區,藝文館所,國立臺灣科學教育館,臺北市  士林區士商路189號,121.508274,25.056847,雙連,02-2720-8889
230,士林區,公共藝術,科幻巨石陣 Stonehenge,臺北市  士林區士商路189號 國立臺灣科學教育館,121.530849,25.091713,士林,02-2883-6340
151,士林區,宗教信仰,慈諴宮,臺北市  士林區大南路84號,121.5496,25.1013,士林,02-2881-2021
129,士林區,戶外踏青,士林官邸公園,臺北市  士林區中山北路5段、福林路口東南側,121.506343,25.136571,新北投,02-2897-7682
204,士林區,宗教信仰,圓山水神社,臺北市  士林區中山北路5段82號之1(臺北自來水事業處陽明分處旁的後山坡),121.547742,25.15579,劍潭,02-2861-3601
60,士林區,歷史建築,天母白屋,臺北市  士林區中山北路7段181巷23號,121.465255,25.124904,唭哩岸,
35,士林區,戶外踏青,七星山系-天母古道親山步道,臺北市  士林區中山北路7段232巷,121.5362,25.0296,大安森林公園,02-2303-2451、02-27003830
90,士林區,戶外踏青,五指山系-劍潭山親山步道,臺北市  士林區中山北路四段公車劍潭站旁,121.511592,25.13794,新北投,02-2720-8889
181,士林區,藝文館所,郭元益糕餅博物館,臺北市  士林區文林路546號4樓,121.57197,25.023757,象山,
291,士林區,戶外踏青,平等里櫻花,臺北市  士林區平菁街42巷,121.499962,25.036798,龍山寺,02-2302-5162
78,士林區,歷史建築,林語堂故居,臺北市  士林區仰德大道2段141號,121.533838,25.063059,行天宮,02-2502-7924
26,士林區,戶外踏青,陽明山國家公園,臺北市  士林區竹子湖路1-20號(陽明山國家公園管理處),121.508682,25.137025,新北投,02-2897-2647
102,士林區,藝文館所,順益臺灣原住民博物館,臺北市  士林區至善路2段282號,121.52194,25.03471,中正紀念堂,886-2-2343-1100
319,士林區,戶外踏青,至德園公園,臺北市  士林區至善路二段113巷,121.56376,25.03758,市政府,臺北市民當家熱線：1999（外縣市請撥02-2720-8889）轉8630
4,士林區,藝文館所,國立故宮博物院,臺北市  士林區至善路二段221號,121.507153,25.136691,新北投,02-2893-9981
158,士林區,戶外踏青,內雙溪自然公園,臺北市  士林區至善路三段150巷,121.468942,25.127255,關渡,02-7730-4300
118,士林區,戶外踏青,七星山系-坪頂古圳親山步道,臺北市  士林區至善路三段370巷29號,121.52887,25.04381,忠孝新生,02-2358-1914
119,士林區,宗教信仰,芝山巖惠濟宮,臺北市  士林區至誠路1段326巷26號,121.51877,25.038728,臺大醫院,02-2351-6699分機 6113
